producto,precioUnitario,talla,cantidad,vendedor,fecha,total
Camiseta Polo M/C,,L,2.0,Brahian Lopera,2026-02-06,196000
camisa polo de hombre classic fit cuello nerú manga corta textura piqué jacquard en algodón,200000.0,S,1.0,Daniel Arias,2026-02-20,200000
Camiseta Polo M/C,98000.0,XXXL,5.0,JESSICA MORA,2026-01-09,490000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,medio,1.0,Jessica Mora,2026-01-02,1500000
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,,M,5.0,Jessica Mora,2026-01-16,3400000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,medio,5.0,Harold Mejia,2026-02-13,1000000
Camiseta Polo M/C,98000.0,S,0.0,Daniel Arias,2026-02-25,490000
 Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous ,490000.0,XXL,1.0,Alderney Ramirez,2026-01-05,490000
 Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón ,357000.0,S,5.0,Pablo Serna,2026-02-09,1785000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,XL,-1.0,Pablo Serna,2026-02-28,200000
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,150000.0,M,4.0,KEVIN VILLEGAS,2026-01-12,600000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,L,1.0,Kevin Villegas,2026-02-07,490000
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,680000.0,L,3.0,JESSICA MORA,2026-01-13,2040000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,,XS,1.0,Daniel Arias,2026-02-10,357000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,,L,3.0,Daniel Arias,2026-02-17,330000
 Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón ,205000.0,XL,4.0,Alderney Ramirez,2026-01-03,820000
 Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster ,680000.0,XL,2.0,Jessica Mora,2026-01-29,1360000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,M,4.0,Pablo Serna,2026-01-24,1744
